的	白
旧	日
秦	禾
偏	亻
测	氵
侠	亻
迟	辶
爹	父
诗	讠
针	钅
版	片
鱼	丿
烦	火
贝	丨
愈	心
丁	一
魂	鬼
尖	小
懂	忄
升	廾
峰	山
惜	忄
征	彳
童	立
弱	弓
吓	口
敬	攵
抗	扌
私	禾
戏	又
宗	宀
误	讠
促	亻
逐	辶
郎	阝
诸	讠
尤	尢
挑	扌
牌	片
洛	氵
森	木
借	亻
熟	灬
庭	广
娇	女
纷	纟
喊	口
架	木
横	木
侧	亻
唇	辰
豪	亠
努	力
编	纟
弹	弓
判	刂
盖	羊
贫	贝
拳	手
抢	扌
络	纟
闭	门
贸	贝
孤	子
虑	虍
拥	扌
悲	心
爸	父
疾	疒
训	讠
额	页
销	钅
盛	皿
迹	辶
冒	日
降	阝
玄	亠
哼	口
岂	山
怜	忄
狠	犭
鲜	鱼
伟	亻
叔	又
胆	月
迫	辶
折	扌
腰	月
残	歹
抽	扌
奶	女
骂	马
凶	凵
摸	扌
飘	风
墙	土
轮	车
扑	扌
阶	阝
茶	艹
趣	走
洋	氵
舍	人
操	扌
腿	月
厚	厂
闹	门
塞	土
诺	讠
番	田
减	冫
氏	丿
纸	纟
础	石
碰	石
释	丿
材	木
陪	阝
培	土
圆	囗
唯	口
缺	缶
届	尸
遍	辶
伦	亻
竹	丿
货	贝
孔	子
混	氵
奋	大
庆	广
娜	女
遗	辶
仲	亻
枪	木
勒	革
映	日
洪	氵
鼓	士
谓	讠
鲁	鱼
跃	足
赞	贝
舒	人
穴	丶
颜	页
孟	子
税	禾
搞	扌
挂	扌
壁	土
夺	大
菜	艹
贼	贝
逼	辶
慕	心
妖	女
宋	宀
岳	山
旅	方
审	宀
绍	纟
补	衤
伏	亻
俊	亻
扶	扌
迅	辶
勇	力
附	阝
朗	月
仿	亻
途	辶
狗	犭
骑	马
昨	日
暴	日
乌	丿
瞪	目
亡	亠
固	囗
诚	讠
盟	皿
滚	氵
咬	口
吻	口
融	虫
岛	山
博	十
吟	口
宽	宀
措	扌
乘	丿
弃	亠
卷	八
珍	王
怔	忄
累	田
袋	衣
乔	丿
聚	耳
票	覀
稍	禾
惨	忄
丰	二
犹	犭
烧	火
录	彐
岸	山
塔	土
嘛	口
幽	丨
择	扌
悄	忄
遭	辶
俄	亻
洗	氵
缘	纟
踪	足
皆	比
羽	乙
佳	亻
闲	门
凭	几
辛	丶
郭	阝
触	角
貌	豸
昏	日
督	目
佩	亻
奖	大
纯	纟
阻	阝
扎	扌
径	彳
振	扌
奉	二
伴	亻
餐	食
芳	艹
尺	尸
竞	立
韦	一
扩	扌
邓	又
瓦	一
川	丿
萨	艹
躲	身
皱	皮
抵	扌
核	木
隔	阝
撞	扌
尘	小
拔	扌
瑞	王
泰	水
谋	讠
予	乙
欣	斤
宜	宀
幕	巾
鼻	丿
括	扌
甘	艹
堡	土
仰	亻
怨	心
损	扌
码	石
尸	乙
仁	亻
灰	火
吐	口
赏	贝
吹	口
扫	扌
湾	氵
阁	门
符	
垂	二
忠	心
抖	扌
忧	忄
坦	土
唱	口
贴	贝
延	廴
壮	丬
梁	木
郑	阝
析	木
碎	石
挺	扌
僧	亻
荡	艹
箭	
俱	亻
灭	火
旋	方
苍	艹
傲	亻
爵	爪
彼	彳
戴	戈
净	冫
距	足
贯	毋
腾	月
缩	纟
吕	口
呵	口
匆	勹
灾	宀
汗	氵
拒	扌
侯	亻
陵	阝
季	禾
糊	米
典	八
袭	龙
敏	攵
召	刀
丢	厶
猜	犭
颤	页
授	扌
插	扌
凉	冫
泛	氵
穷	穴
莲	艹
疯	疒
圈	囗
享	亠
粮	米
祝	礻
绕	纟
颗	页
赤	一
蒂	艹
旗	方
粗	米
奈	大
匹	匚
骗	马
彻	彳
莱	艹
嫁	女
臣	匚
醉	酉
蛋	疋
桥	木
凯	几
掩	扌
拼	扌
惯	忄
蛇	虫
篇	
曼	日
愤	忄
锋	钅
抚	扌
沿	氵
启	户
哦	口
朵	几
霍	雨
冬	夂
荒	艹
枝	木
侍	亻
恋	心
伍	亻
赫	赤
陷	阝
睁	目
桑	木
耐	寸
仪	亻
镜	钅
慧	心
忆	忄
申	日
黎	水
衫	衤
鸟	丿
斜	斗
慌	忄
浓	氵
违	辶
堆	土
辞	舌
嘿	口
鹰	广
页	一
麦	夂
椅	木
袖	衤
航	舟
亏	二
掠	扌
粉	米
钢	钅
悉	心
恢	忄
薄	艹
涌	氵
艾	艹
潜	氵
眸	目
逸	辶
暂	日
踏	足
洁	氵
惑	心
盯	目
刊	刂
购	贝
颇	皮
傅	亻
潮	氵
截	隹
浩	氵
玛	王
倾	亻
挡	扌
载	车
帐	巾
课	讠
鸡	又
吼	口
琴	王
躺	身
拖	扌
锦	钅
晃	日
浮	氵
欺	其
唤	口
聪	耳
莉	艹
签	
殿	殳
埃	土
染	木
仔	亻
裂	衣
绪	纟
翼	羽
幻	乙
驻	马
悔	忄
描	扌
键	钅
池	氵
妮	女
售	隹
疼	疒
翠	羽
哀	亠
澳	氵
鹏	鸟
狼	犭
赌	贝
摩	手
屈	尸
勾	勹
幅	巾
霞	雨
愁	心
宾	宀
厌	厂
旦	日
毁	殳
寺	土
障	阝
忌	己
奴	女
晨	日
埋	土
羞	羊
汤	氵
尾	尸
董	艹
末	二
询	讠
卓	卜
喃	口
汽	氵
允	厶
迪	辶
递	辶
慰	心
锁	钅
剩	刂
繁	糸
筑	
劝	又
饮	饣
姆	女
冠	冖
雾	雨
岗	山
闷	门
俗	亻
戒	戈
渡	氵
汇	氵
瘦	疒
缠	纟
隆	阝
辉	小
漫	氵
赖	贝
痴	疒
俩	亻
滑	氵
漠	氵
摄	扌
丧	十
牢	宀
娃	女
扯	扌
惧	忄
霸	雨
宏	宀
肃	彐
霜	雨
唉	口
跌	足
焦	隹
跨	足
疗	疒
播	扌
葛	艹
甜	舌
寂	宀
恰	忄
甲	日
傻	亻
卢	卜
浑	氵
祥	礻
兼	八
恭	心
邦	阝
姿	女
恼	忄
肚	月
盈	皿
廷	廴
盗	皿
鸣	口
涉	氵
磨	石
芒	艹
涛	氵
柏	木
劫	力
捉	扌
勤	力
津	氵
订	讠
返	辶
泥	氵
仆	亻
废	广
乖	丿
泉	白
艳	二
暖	日
溜	氵
挣	扌
琳	王
漂	氵
悦	忄
啸	口
曹	日
爬	爪
狐	犭
贺	贝
倍	亻
惹	心
扭	扌
弯	弓
箱	
羊	丶
牵	大
抹	扌
丫	丶
刑	刂
讶	讠
尝	小
辆	车
驾	马
慈	心
邀	辶
寇	宀
遥	辶
零	雨
扰	扌
污	氵
舌	丿
碧	石
拾	扌
菲	艹
殊	歹
玲	王
吞	口
绩	纟
搜	扌
穆	禾
脉	月
庞	广
躯	身
荷	艹
虹	虫
墨	黑
刹	刂
崖	山
丑	乙
井	二
亭	亠
腹	月
鞭	革
扮	扌
誉	言
悟	忄
煞	灬
蝶	虫
堪	土
镖	钅
劈	刀
爆	火
捕	扌
辰	一
喂	口
署	罒
袍	衤
扣	扌
援	扌
昌	日
贤	贝
宿	宀
铺	钅
牧	牜
综	纟
瞬	目
毅	殳
耶	耳
嗯	口
艰	又
拦	扌
熊	灬
植	木
聊	耳
寸	一
饰	饣
搭	扌
扇	户
践	足
嘉	士
柄	木
坡	土
陶	阝
轩	车
湘	氵
详	讠
轰	车
痕	疒
喘	口
裁	衣
耸	耳
侵	亻
御	彳
闯	门
倏	亻
敲	攴
庙	广
夹	一
祸	礻
罚	罒
挤	扌
棋	木
贡	工
偶	亻
眨	目
患	心
撒	扌
枫	木
欠	丿
惠	心
频	页
蓉	艹
储	亻
函	凵
辑	车
筹	
吾	口
刃	刀
滴	氵
桃	木
遂	辶
拨	扌
弗	弓
债	亻
勉	力
衡	彳
忖	忄
颊	页
辱	辰
锐	钅
晶	日
卧	卜
姬	女
铃	钅
狄	犭
勃	力
铜	钅
迈	辶
瓶	瓦
薛	艹
涂	氵
茫	艹
炸	火
烂	火
岩	山
燃	火
钻	钅
琪	王
狱	犭
骇	马
擦	扌
斤	丿
贷	贝
币	巾
袁	土
昆	日
仗	亻
冯	冫
邻	阝
谅	讠
丛	一
齿	丨
媚	女
嘻	口
贾	覀
搬	扌
龄	齿
纤	纟
寿	寸
奏	二
跪	足
咐	口
驰	马
阔	门
莎	艹
励	力
拓	扌
娶	女
晴	日
悠	心
梯	木
卿	卩
浅	氵
赴	走
脆	月
碗	石
覆	覀
哩	口
趁	走
夕	丿
幼	力
昂	日
翎	羽
歉	欠
湿	氵
麟	鹿
孝	土
矣	厶
愧	忄
炼	火
雁	厂
戈	一
寄	宀
宅	宀
坛	土
胖	月
乾	十
估	亻
矛	乙
殷	殳
罩	罒
雕	隹
盾	目
凄	冫
兽	八
肥	月
鹤	鸟
鞋	革
寨	木
薇	艹
撤	扌
俞	人
碍	石
翔	羊
耀	小
腕	月
酸	酉
愣	忄
割	刂
抛	扌
趋	走
脏	月
嫌	女
胁	月
誓	言
尹	彐
舟	丿
歇	欠
柱	木
麽	麻
桂	木
媒	女
捷	扌
糟	米
虫	丨
斩	车
乏	丿
喷	口
披	扌
嫂	女
崔	山
宛	宀
洒	氵
婉	女
柜	木
崇	山
腐	广
禅	礻
臭	自
戚	戈
甫	一
诱	讠
魏	鬼
愕	忄
览	见
泄	氵
萍	艹
瑶	王
弥	弓
摘	扌
咽	口
屠	尸
杖	木
赢	贝
逢	辶
矮	矢
瓜	丿
郁	阝
饶	饣
帽	巾
焰	火
摔	扌
尉	寸
纠	纟
妨	女
润	氵
颈	页
亩	亠
盼	目
挨	扌
琼	王
哑	口
喉	口
芙	艹
巡	辶
姜	羊
昔	日
厨	厂
豆	一
踢	足
吵	口
廉	广
妥	爪
酷	酉
畏	田
疏	疋
丐	一
肤	月
筋	
循	彳
棉	木
爪	丿
缝	纟
辩	辛
姨	女
帕	巾
译	讠
矿	石
吩	口
悬	心
猪	犭
疲	疒
丘	丿
懒	忄
邮	阝
捧	扌
帅	巾
偿	亻
撑	扌
膀	月
猫	犭
奸	女
靖	立
巾	丨
饿	饣
削	刂
辣	辛
愉	忄
吁	口
矩	矢
苗	艹
笼	
晌	日
纱	纟
翁	羽
卜	丨
慎	忄
屏	尸
彭	彡
惟	忄
饱	饣
谦	讠
揭	扌
鸿	氵
笨	
岭	山
瞒	目
牲	牜
绵	纟
愚	心
谭	讠
汪	氵
僵	亻
枚	木
拂	扌
聂	耳
宴	宀
骤	马
稀	禾
绳	纟
贪	贝
迁	辶
擒	扌
渊	氵
猎	犭
嚷	口
砍	石
驶	马
滋	氵
裴	衣
呈	口
添	氵
拟	扌
遵	辶
柯	木
蓦	马
轿	车
晕	日
旨	日
溪	氵
抑	扌
蜜	虫
墓	土
租	禾
脾	月
链	钅
贞	卜
魄	白
陡	阝
驱	马
兆	丿
役	彳
瞥	目
涵	氵
氛	气
肌	月
吨	口
窝	穴
珊	王
蓬	艹
渴	氵
肠	月
豫	乙
催	亻
裤	衤
档	木
昭	日
疆	弓
膝	月
凑	冫
鉴	金
胞	月
吊	口
璃	王
妄	女
挖	扌
晋	日
畅	日
叉	又
伐	亻
弓	乙
漏	氵
廊	广
炉	火
钦	钅
炎	火
炮	火
芝	艹
谨	讠
拐	扌
豹	豸
谊	讠
册	一
璇	王
妃	女
哇	口
沾	氵
潘	氵
赐	贝
焉	灬
卑	十
峡	山
敦	攵
婢	女
诡	讠
咳	口
枯	木
辽	辶
籍	
遮	辶
纽	纟
嘲	口
泣	氵
拆	扌
搂	扌
捐	扌
盒	人
摊	扌
叱	口
逝	辶
黛	黑
挽	扌
叛	八
耻	耳
陌	阝
搏	扌
後	彳
冤	冖
叙	又
逆	辶
耿	耳
莹	王
柴	木
耗	耒
玫	王
棒	木
辨	辛
逻	辶
沃	氵
恍	忄
窜	穴
怖	忄
魅	鬼
蔡	艹
